name_checko;inn;phone;email;web;employees;name_add;segment_tag;rating_ref;source;okved_main;income_numeric
;nan;;;;;Depot WPF;brandинг, full_cycle;3.0;marketing-tech.ru, dadata, checko;;3500000000.0
;nan;;;;; Wave;btl;5.0;marketing-tech.ru, dadata, checko;;500000000.0
;nan;;;;;Doctorteam;btl;4.0;marketing-tech.ru, dadata, checko;;760000000.0
;nan;;;;;DOT  Agency;full_cycle, brand;17.0;marketing-tech.ru, dadata, checko;;253000000.0
;nan;;;;;DPG Russia;btl;3.0;marketing-tech.ru, dadata, checko;;1100000000.0
;nan;;;;;Event Motorsport;event;10.0;marketing-tech.ru, dadata, checko;;250000000.0
;nan;;;;;Event Planet;event;8.0;marketing-tech.ru, dadata, checko;;550000000.0
;nan;;;;;Eventide;event;11.0;marketing-tech.ru, dadata, checko;;250000000.0
;nan;;;;;Grafprom;merch;4.0;marketing-tech.ru, dadata, checko;;600000000.0
;nan;;;;;JAMI;comm_group;15.0;marketing-tech.ru, dadata, checko;;542400000.0
;nan;;;;;Main Target Group;full_cycle;18.0;marketing-tech.ru, dadata, checko;;328000000.0
;nan;;;;;Make All Perfect;full_cycle, brand;27.0;marketing-tech.ru, dadata, checko;;217000000.0
;nan;;;;;Marketing Division;comm_group, brand;18.0;marketing-tech.ru, dadata, checko;;299700000.0
;nan;;;;;Maxima Promo;btl;4.0;marketing-tech.ru, dadata, checko;;600000000.0
;nan;;;;;Media Hunter;btl;6.0;marketing-tech.ru, dadata, checko;;450000000.0
;nan;;;;;Media Management Group;full_cycle;6.0;marketing-tech.ru, dadata, checko;;2800000000.0
;nan;;;;;MediaNation;full_cycle;11.0;marketing-tech.ru, dadata, checko;;1400000000.0
;nan;;;;;MobX;full_cycle;24.0;marketing-tech.ru, dadata, checko;;238900000.0
;nan;;;;;Moscow Event;event;4.0;marketing-tech.ru, dadata, checko;;750000000.0
;nan;;;;;Notamedia.Agency;full_cycle, brand;4.0;marketing-tech.ru, dadata, checko;;1700000000.0
;nan;;;;;OMD Media Direction;comm_group;8.0;marketing-tech.ru, dadata, checko;;1600000000.0
;nan;;;;;Orange Promo;btl, merch;3.0;marketing-tech.ru, dadata, checko;;331700000.0
;nan;;;;;OTVETDESIGN;comm_group, brand;4.0;marketing-tech.ru, dadata, checko;;4000000000.0
;nan;;;;;Perfluence;brand;5.0;marketing-tech.ru, dadata, checko;;1400000000.0
;nan;;;;;Premier Event;event;9.0;marketing-tech.ru, dadata, checko;;500000000.0
;nan;;;;;Promo Interactive;btl;8.0;marketing-tech.ru, dadata, checko;;450000000.0
;nan;;;;;Promo Solutions;btl;9.0;marketing-tech.ru, dadata, checko;;400000000.0
;nan;;;;;PromoBeacon;btl;12.0;marketing-tech.ru, dadata, checko;;200000000.0
;nan;;;;;Pro-Vision Communications;comm_group;8.0;marketing-tech.ru, dadata, checko;;2100000000.0
;nan;;;;;Red Collar;brand;9.0;marketing-tech.ru, dadata, checko;;600000000.0
;nan;;;;;Red Keds;btl;12.0;marketing-tech.ru, dadata, checko;;200000000.0
;nan;;;;;red_mad_robot;full_cycle;1.0;marketing-tech.ru, dadata, checko;;7200000000.0
;nan;;;;;Retail Lab;merch;5.0;marketing-tech.ru, dadata, checko;;600000000.0
;nan;;;;;Rocketmind;btl;5.0;marketing-tech.ru, dadata, checko;;400000000.0
;nan;;;;;Rush Agency;full_cycle;19.0;marketing-tech.ru, dadata, checko;;300000000.0
;nan;;;;;Servizoria;btl, merch;5.0;marketing-tech.ru, dadata, checko;;313600000.0
;nan;;;;;Smartworks;event;9.0;marketing-tech.ru, dadata, checko;;350000000.0
;nan;;;;;Soft Media Group;full_cycle;22.0;marketing-tech.ru, dadata, checko;;251000000.0
;nan;;;;;SPN Communications;comm_group;21.0;marketing-tech.ru, dadata, checko;;219500000.0
;nan;;;;;SPN Ogilvy;comm_group, btl;8.0;marketing-tech.ru, dadata, checko;;1800000000.0
;nan;;;;;TopMarketplace;brand;7.0;marketing-tech.ru, dadata, checko;;1000000000.0
;nan;;;;;TWIGA Communication Group;comm_group;1.0;marketing-tech.ru, dadata, checko;;12000000000.0
;nan;;;;;VICTORY group;full_cycle;4.0;marketing-tech.ru, dadata, checko;;4000000000.0
;nan;;;;;Zebra Hero;btl;8.0;marketing-tech.ru, dadata, checko;;300000000.0
;nan;;;;;Академия коммуникаций Wordshop;comm_group;9.0;marketing-tech.ru, dadata, checko;;1500000000.0
;nan;;;;;Салют-Промо;btl;8.0;marketing-tech.ru, dadata, checko;;300000000.0
