inn;name_1;name_2;revenue_year;revenue;segment_tag;source;okved_main;employees;site;description;region;phone;email;rating_ref
7707446530;"ООО ""БЮРО 1440""";Бюро 144;2024;1100000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;72.19;1188.0;https://1440.space;брендинг, креатив;Москва;+74954453301;info@1440.space, press@1440.space;7
7708250280;"ООО ""4 ПИКСЕЛЯ +""";4 Пикселя;2024;2200000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;63.11;22.0;http://4px.ru;маркетинг, дизайн;Москва;+74951811619;ann@4px.ru, m@4px.ru, docs@4px.ru;7
7709336148;"ООО ""ПРОМО.РУ-ИНТЕРЭКТИВ""";Promo.ru;2024;700000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://promo.ru;интерактивный маркетинг;Москва;;info@promo.ru;5
7709702027;"ООО ""ДД ВБ""";DDVB;2024;227300000;btl, comm_group, full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;70.22;1.0;http://directdesign.ru;комплексные решения;Москва;+79037240979, +74959173117;info@directdesign.ru;2
7713117928;;LBL;2024;986900000;btl, comm_group, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://lbl.ru/;рекламные кампании;Москва;+74957894543;info@lbl.ru;1
7714346014;"ООО ""АДВЕНТУМ ОТ""";Adventum;2024;1800000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;13.30;25.0;http://adventum.ru;комплексные решения;Москва;+79509274843, +74959808016, +74993221474, +74959988661;salnikova@textime.ru, adventum.ot@list.ru, info@adventumtech.ru, kuznetzova@textime.ru;9
7714856110;"ООО ""АРМИ-МАРКЕТИНГ БИЗНЕС""";Marketing Arm;2024;604500000;event, comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.20.1;90.0;https://armi-marketing.com;маркетинг, события;Москва;+74952586915, +74952586914;mail@armi-marketing.com;7
7715809321;"ООО ""ПИКСЕЛЬ ПЛЮС""";Пиксель Плюс;2024;274000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.01;16.0;http://pixelplus.ru;брендинг, веб-разработка;Москва;+74959895311, +79266650254, +78007007965;oleynik@pixelplus.ru, manager@pixelplus.ru;15
7715865774;"ООО ""АМЕРИЧИП""";AMERICHIP;2024;221700000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.1;11.0;http://americhip.ru;POS-материалы;Москва;+74999628380, +74956406829, +79169000272, +74959336933;re@americhip.ru, info@americhip.ru;10
7716973388;"ООО ""ТЕКАРТ""";Текарт;2024;293400000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://techart.ru/;digital-коммуникации;Москва;+79686473377;info@techart.ru;20
7718820108;"ООО ""ЭВЕНТ ЛАБОРАТОРИЯ""";Event Lab;2024;350000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;93.2;;https://eventlab.dev/;организация мероприятий;Москва;;;9
7722495845;"ООО ""ИМАР СТРОЙ""";iMARS;2024;548200000;comm_group, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;41.20;;http://export.imars.ru/main.php;строительство;Москва;74952345746;info@imars.ru;14
7725268791;"ООО ""ЗЕКСЛЕР""";ЗЕКСЛЕР;2024;250000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;5.0;http://zexler.ru;маркетинговые коммуникации;Москва;+74993918112;hr@zexler.ru;23
7728887888;"ООО ""ПРОМО ГАРАНТ""";Гарант-Промо;2024;800000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;82.99;;;промо-акции;Москва;;;4
7731420204;"ООО ""РУССМАРКЕТ""";РУССМАРКЕТ;2024;1000000000;merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;11.0;https://russ-market.ru;мерчандайзинг;Москва;+74951610666;sales@russ-market.ru;2
7806614270;"ООО ""КАПИБАРА""";Капибара;2024;431800000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;46.31;1.0;https://kapibaraagency.com/;организация мероприятий;Москва;+7 (499) 391-96-04;office@kb-12.com;8
7813323882;"ООО ""ИА РИАЛВЕБ""";Риалвеб;2024;6100000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;515.0;http://realweb.ru;интернет-реклама;Санкт-Петербург;+78122353860, +74952290161, +78123253860;admin1.petrograd@rspb.ru, user1473@realweb.ru;2
7813604450;"ООО ""МАСТЕР ИН СТРАНА""";Master In;2024;298400000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;9.0;http://master-in.ru;организация мероприятий;Москва;+74952550607, +78123131060;;8
7816759363;"ООО ""ИМАГА""";Imaga;2024;1200000000;btl, event;marketing-tech.ru, dadata, checko, rusprofile, web-site;68.20;;;организация мероприятий;Москва;+79219500577, +79112444401;89213050405@yandex.ru;2
9703231294;"ООО ""МСС""";MediaCom;2024;4000000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;58.11;;;маркетинговые коммуникации;Москва;+79031173050, +79042755458, +79266111585;;1
9705199462;"ООО ""М-ПАРК""";Mosaic;2024;400000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;58.11;16.0;http://мозаика-парк.рф;организация мероприятий;Москва;+74953089474, +79651173837;m.lobzina@book-team.ru, sales@mosaic-park.ru, info@mosaic-park.ru;9
9706015870;"ООО ""ОНИКС. ОТР""";;2024;500000000;merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;70.10;3.0;;мерчандайзинг;Москва;+79096734364;norvus8@gmail.com, kuptsova2008@yandex.ru;10
9715494040;"ООО ""СЗ БЦ АПСАЙД ОСТАНКИНО""";UPSIDE;2024;207600000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;71.12.2;;;коммуникационные услуги;Москва;+79055951555, +79207904020;s.komarova@upside.ru, st@waypark.ru;23
9724089112;"АО ""Ф.Б.С.""";FBS;2024;600000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;64.99.11;;;маркетинговые коммуникации;Москва;+79037121152;fbs_2013@mail.ru;5
5257143257;"ООО ""АКОСТА ГРУПП""";Acosta;2024;236000000;btl, merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;38.0;https://acostamerch.ru/;POS-материалы;Нижний Новгород;+78314109424;"info@acostamerch.ru
";6
7704558179;" ООО ""А.А.И.""";AdIndex;2024;400000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.1;;https://adindex.ru/;маркетинговые коммуникации;Москва;+79096229002;info@adindex.ru;15
2725095469;"ООО ""Адв Групп"" ";ADV Group;2024;7100000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://advgroup.ru/;коммуникационные услуги;Новосибирск;+73832173636;info@alvest.ru;3
7727594134;ООО «Виадук Рус»;AdWatch;2024;500000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:AdWatch_Isobar;digital-коммуникации;Москва;;news@tadviser.ru;5
9701085591;"ООО""Мэднесс"" ";AGT Communications;2024;1100000000;comm_group, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;5.0;https://agt.agency/en/;коммуникационные услуги;Москва;+74956240301;info@agt-agency.ru;6
2461209336;"ООО ""НПЦ ""МКА""";ARK CONNECT;2024;398200000;comm_group, full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;72.19;27.0;http://www.arkconnect.ru/;коммуникационные услуги;Красноярск;+74957814114;hi@arkconnect.ru;17
7704774571;"ООО ""АРТОКС МЕДИА""";Artox Media  Group;2024;357100000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;59.0;https://amdg.ru/;digital-коммуникации;Москва;+74951534247;info@amdg.ru;16
6449102344;"ООО ""ПРОГРЕСС АПП""";Asap ;2024;209000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.01;;https://asap-ag.ru/;мобильные приложения;Саратов;+78452531888;hello@asap-ag.ru;22
7710582282;Акционерное общество «ББДО»;BBDO Moscow;2024;1900000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://bbdo-moscow.ru/;коммуникационные услуги;Москва;+74957875778;new@bbdo.ru;7
7726383437;ООО «БОБ КО»;be all bright! group;2024;312600000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;20.0;https://beallbright.com/;организация мероприятий;Москва;+74994300186;INFO@BEALLBRIGHT.COM;7
6685014926;"ООО ""БИ БРЭНД ПИПЛ""";Be Brand People;2024;933900000;merch, event, comm_group, full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;93.29.9;;https://bebrand.ru/;бренд-менеджмент;Екатеринбург;+79045464384;info@bebrand.ru;1
434529134482;ИП Новицкий Сергей Владимирович;BrandMaker;2024;700000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://brandmaker.ru/;бренд-менеджмент;Киров;+78332215675;info@brandmaker.ru;11
7703722370;Обществом с ограниченной ответственностью «Баззфактори»;Buzz Factory;2024;900000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;9.0;https://buzzfactory.ru/;организация мероприятий;Москва;+79253552744;info@buzzfactory.ru;2
7709959022;ООО «Делаем круто»;CreativePeople;2024;253000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;68.0;https://cpeople.ru/;бренд-менеджмент;Москва;+74959177258;service@cpeople.team;16
7702833422;"ООО ""ДАДА КРЕАТИВ""";DADA Agency;2024;220400000;event, full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;11.0;https://www.dada.llc/;креативные решения;Москва;+74953748814;ask@dada.llc;9
6662126172;Общество с ограниченной ответственностью “Дельта-План”;DeltaClick x D Innovate Group;2024;3000000000;comm_group, full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;42.0;https://deltaclick.ru/;коммуникационные услуги;Екатеринбург;"+73432220707
";hello@deltaclick.ru;6
9705151710;"ООО ""МАРКЕТИНГ И ОНЛАЙН ПРОДАЖИ""";Demis Group;2024;1800000000;full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;48.0;https://www.demis.ru/;рекламное агентство;Москва;+78005058608;info+4188787@demis.ru;3
7731659610;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕНЦУ НЬЮ АЙДИАС""";Dentsu Aegis Network Russia;2024;3700000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;1500.0;https://www.dentsu.com/ru/ru/?utm_source=marketing-tech;маркетинговые коммуникации;Нью-Йорк;+74959959313;;1
7709658882;"ООО Брендинговое Агентство ""Депо""";Depot WPF;2024;3500000000;brandинг, full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.10;;https://www.depotwpf.ru/;маркетинговые коммуникации;Москва;+74958467419;hello+6024559@depotwpf.ru;3
701752778729; ИП Пчелинцева Владлена Викторовна; Wave;2024;500000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;63.11;;https://waveagency.ru/;маркетинговые коммуникации;Москва;+79258841938;wavesmm@mail.ru;5
9715291509;"ООО ""ДОКТОР ТИМ""";Doctorteam;2024;760000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;93.29.9;;https://doctorteam.ru/;организация мероприятий;Москва;+74993408232; info@doctorteam.ru;4
7710711668;"ООО ""ДОТ""";DOT  Agency;2024;253000000;full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;39.0;https://dot.ru/;digital-коммуникации;Санкт-Петербург;+74956464967;ORDER@DOT.RU;17
7704806343;ООО «ДИ ПИ ДЖИ»;DPG Russia;2024;1100000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://dpgrussia.com/;media buying;Москва;+74951817445;agency@dpgrussia.com;3
nan;;Event Motorsport;2024;250000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;https://www.motorsport-events.com/;промо-акции;Москва;01225862360;trackdays@motorsport-events.com ;10
nan;;Event Planet;2024;550000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;www.event-planet.com.ua;брендинг, дизайн;Санкт-Петербург;0938581220;info@event-planet.com.ua;8
nan;;Eventide;2024;250000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;https://www.eventidemarketing.co.uk/home;инфлюенс-маркетинг;Москва;7815785194;eve@eventidemarketing.com;11
nan;;Grafprom;2024;600000000;merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;http://grafprom.com.ua/;организация мероприятий;Сочи;;studio@grafprom.com;4
7725688242;"ООО ""ДЖАМИ""";JAMI;2024;542400000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;129.0;https://jami.ru/;промо-акции;Москва;+74956496973;mail@jami.ru;15
7733867809;ООО «Мэйн Таргет Групп»;Main Target Group;2024;328000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;19.0;https://main-target.ru/;промо-акции;Австралия;+74952690317;target@ra-tm.ru;18
502212550483;ИП Графов Дмитрий Игоревич;Make All Perfect;2024;217000000;full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://makeallperfect.ru/;коммуникационные услуги;Москва;+74950181815;info@makeallperfect.ru;27
5260255916;"ООО ""МД-ГРУПП""";Marketing Division;2024;299700000;comm_group, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;82.30;33.0;https://marketingdivision.ru/;брендинг, дизайн;Воронеж;+74995505588;md@marketingdivision.com;18
250812616270;ИП Кузовов Андрей Романович;Maxima Promo;2024;600000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://maximaoils.ru/category/promos/;одежда, обувь;Москва;+79662821014;opt@maximaoils.ru;4
7710495625;"ООО ""МЕДИА ХАНТЕР""";Media Hunter;2024;450000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;70.22;1.0;;digital-разработка;Москва;+79161313140;;6
nan;;Media Management Group;2024;2800000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;https://www.mmgny.com/;ИТ-решения;Москва;2125458383;info@mmgny.com;6
7736602705;ООО «МедиаНация»;MediaNation;2024;1400000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;http://medianation.ru/;digital-коммуникации;Москва;+74952151097;comeon+12087025@medianation.ru;11
nan;;MobX;2024;238900000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;https://mobx.agency/;маркетинговые коммуникации;Москва;+74951377177;go@mobx.agency;24
7734484950;"ООО ""МОСКОУ ИВЕНТ""";Moscow Event;2024;750000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;93.29;4.0;https://mskevent.com/;промо-акции;Москва;+74954812233;info@mskevent.com;4
7841331596;Обществом с ограниченной ответственностью «НОТАМЕДИА»;Notamedia.Agency;2024;1700000000;full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;2.0;https://nota.media/;организация мероприятий;Ростовская обл.;+74959951521;info@notamedia.ru;4
7702409904;"ООО ""ОМД Новус""";OMD Media Direction;2024;1600000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;7.0;https://www.omd.ru/;digital-коммуникации;Москва;+74957834448;info@omd.md.ru;8
7706644112;"ООО ""ОРАНЖ ПРОМОУШН ГРУП""";Orange Promo;2024;331700000;btl, merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;74.14;200.0;https://orange.co.ru/;коммуникационные услуги;Москва;+74959559415;info@orange.co.ru;3
7804502356;Обществу с ограниченной ответственностью «Ответ»;OTVETDESIGN;2024;4000000000;comm_group, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;11.0;https://otvetdesign.ru/;онлайн-продажи;Чебоксары;+74951914865;msk+2233204@otvetdesign.ru;4
7725380313;ООО «Перфлюенс»;Perfluence;2024;1400000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;102.0;https://perfluence.net/;коммуникационные услуги;Москва;+78003336288;pf@perfluence.io;5
2366016158;ООО «Премьер-Ивент»;Premier Event;2024;500000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;56.10;91.0;https://premierevent.ru/;маркетинговые коммуникации;Москва;+79388880997;mice.premier@mail.ru;9
7714588895;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМОСОЛЮШНЗ""";Promo Solutions;2024;400000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;92.32;;https://promo-solution.ru/;digital-коммуникации;Москва;+79932705949;info@promo-solution.ru;9
nan;;PromoBeacon;2024;200000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;https://beaconpromo.com.au/;обучение, коммуникации;Москва;0418 664 278;;12
7718192100;ООО «ПРО-ВИЖЕН ЭЙДЖЕНСИ»;Pro-Vision Communications;2024;2100000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;9.0;https://pvc.ru/;коммуникационные услуги;Москва;+74952216912;info@pvc.ru;8
3663116703;общества с ограниченной ответственностью «Ред Коллар»;Red Collar;2024;600000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.01;73.0;https://redcollar.ru/;брендинг, дизайн;Воронеж;+74732299194;hello@redcollar.ru;9
9718250042;"ООО ""РЭД КЭТ""";Red Keds;2024;200000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;;https://www.redkeds.com/;одежда, обувь;Москва;+74951200248;hello@redkeds.com;12
7728677256;"ООО ""РЭДМЭДРОБОТ""";red_mad_robot;2024;7200000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.0;1.0;https://www.redmadrobot.com/;digital-разработка;Москва;+74959330595;mp@redmadrobot.com;1
nan;ГК «1С‑Рарус»;Retail Lab;2024;600000000;merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;;;https://rarus.ru/retail/retail-next/;ИТ-решения;Москва;+74951533861;1c@rarus.ru;5
7718872265;ООО «ДИДЖИТАЛ ПАРК КЭПИТАЛ ГРУПП»;Rocketmind;2024;400000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.01;1.0;https://rocketmind.ru/;digital-коммуникации;Москва;;eremin@rocketmind.ru;5
7728893521;ООО “Раш Эдженси”;Rush Agency;2024;300000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.09;46.0;https://www.rush-agency.ru/;маркетинговые коммуникации;Москва;+74951526763;partner@rush-agency.ru;19
7726372393;"ООО ""СЕРВИЗОРИЯ""";Servizoria;2024;313600000;btl, merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.20;;https://servizoria.ru/;промо-акции;Москва;+74952680244;sales@servizoria.ru;5
6164235531;"ООО ""СМАРТВОРКС""";Smartworks;2024;350000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;47.91.2;1.0;https://smartworks.ru/contacts;организация мероприятий;Ростовская обл.;;Hello@smartworks.ru;9
7729668550;"ООО ""СОФТ МЕДИА ГРУП""";Soft Media Group;2024;251000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.0;41.0;softmg.ru;digital-коммуникации;Москва;+74955327271;;22
7726650530;"ООО ""СПН КОММЬЮНИКЕЙШНЗ""";SPN Communications;2024;219500000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;93.29;4.0;https://spncomms.com/;коммуникационные услуги;Москва;+74955102200;info@spncomms.com;21
212802048806;ИП Пономарев А.А.;TopMarketplace;2024;1000000000;brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;47.91;;https://top-marketplace.ru/;онлайн-продажи;Чебоксары;+79876721533;info@top-marketplace.ru;7
7726253808;"ООО РА ""ТВИГА""";TWIGA Communication Group;2024;12000000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;26.0;https://twigacg.com/;коммуникационные услуги;Москва;+74959873595;ask@twigacg.com;1
7734451120;"ООО ""ВИКТОРИ""";VICTORY group;2024;4000000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;140.0;victoryagency.ru;маркетинговые коммуникации;Москва;+78001010669;pr@victoryagency.ru;4
7706426516;"ООО ""ЗЕБРА ХИРО""";Zebra Hero;2024;300000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;10.0;https://zebrahero.com/;digital-коммуникации;Москва;+79680561886;hello@zebrahero.com;8
7702470257;НОЧУ ДПО УЦ «АКАДЕМИЯ КОММУНИКАЦИЙ ВОРДШОП»);Академия коммуникаций Wordshop;2024;1500000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;85.23;;https://wordshop.academy/contacts/;обучение, коммуникации;Москва;+74951362224;wordshop.vr@gmail.com;9
246108565939;ИП Косов А.А;Салют-Промо;2024;300000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;;7.0;https://salut-promo.ru/;промо-акции;Нижний Новгород;+78312911065;sales@salut-promo.ru;8
